comment_id	abstract_id	annotator	score	comment
[126]	21	Jessica  Polka		(rearrangement)
[127]	21	Jessica  Polka		(rearrangement)
[128]	24	Dey,  Gautam	context_removed_1	
[129]	24	Jessica  Polka	cdls)	
[130]	24	Jessica  Polka	removed)	
[131]	24	Jessica  Polka	suitable)	
[132]	24	Jessica  Polka	context_added_1	
[133]	24	Mate  Palfy	results_statinfo_1+	
[134]	24	Mate  Palfy	results_statinfo_1+	
[135]	24	Jessica  Polka	results_nounchange_1	
[136]	24	Jessica  Polka		(rearrangement)
[137]	24	Jessica  Polka	conclusions_removed_1-	
[138]	24	jonathon coates	results_effect-_1-	
[139]	24	Dey,  Gautam	conclusions_added_1+	
[140]	24	Dey,  Gautam	results_removed_1-	
[141]	24	Mate  Palfy	conclusions_added_1+	
[142]	24	Dey,  Gautam	results_added_1+	
[143]	24	jonathon coates	conclusion_effect+_1+	
[144]	26	Jessica  Polka	context_effect-_1-	
[145]	26	Mate  Palfy	context_removed_1	
[146]	26	Jessica  Polka	c-statistics)	
[147]	26	Jessica  Polka	results_stat+_1+	
[148]	26	Jessica  Polka	resuls_effect+_1+	
[149]	26	Jessica  Polka	results_effect-_1-	
[150]	26	Mate  Palfy	results_effect-_1	
[151]	26	jonathon coates	results_stat-_1-	
[152]	26	jonathon coates	results_stat-_1-	
[153]	26	Jessica  Polka	conclusions_added_2	(reconciled)
[154]	28	Jessica  Polka	context_added_1	
[155]	28	Jessica  Polka	context_removed_1	
[156]	29	Mate  Palfy	results_statinfo_1	
[157]	29	Mate  Palfy	results_statinfo_1	
[158]	29	Mate  Palfy	results_statinfo_1	
[159]	29	Jessica  Polka	results_statinfo_1	
[160]	29	Jessica  Polka	results_statinfo_1	
[161]	30	Jessica  Polka	context_added_1	
[162]	30	Jessica  Polka	repetitive)	
[163]	30	jonathon coates	conclusion_removed_1	(reconciled)
[164]	31	Mate  Palfy	results_nounchange_1	
[165]	32	Jessica  Polka	context_nouchange_1	
[166]	34	Dey,  Gautam	context_added_1+	
[167]	34	Jessica  Polka	context_stat-_1-	
[168]	34	Dey,  Gautam	results_stat+_1+	
[169]	34	Mate  Palfy	results_stat-_1-	
[170]	35	Jessica  Polka	context_nounchange_1	
[171]	35	jonathon coates	results_added_1+	
[172]	36	Dey,  Gautam	context_added_1+	
[173]	37	Dey,  Gautam	results_stat+_1+	
[174]	37	Dey,  Gautam	pm	
[175]	38	Jessica  Polka	pm	
[176]	38	Jessica  Polka	results_stat-_1-	
[177]	38	Mate  Palfy	‘other’)	
[178]	39	Jessica  Polka	context_removed_1	
[179]	39	Jessica  Polka	context_removed_1	
[180]	39	Jessica  Polka	increasing)	
[181]	39	Jessica  Polka	context_removed_1	
[182]	39	Jessica  Polka	context_removed_1	
[183]	39	Jessica  Polka	context_removed_1	
[184]	39	Jessica  Polka	context_removed_1	
[185]	39	Jessica  Polka	context_stat+_1	
[186]	39	jonathon coates	results_stat+_1+	
[187]	39	Dey,  Gautam	results_added_1+	
[188]	39	jonathon coates	results_stat+_1+	
[189]	39	Mate  Palfy	results_stat-_1-	
[190]	39	Jessica  Polka	20)	
[191]	39	Jessica  Polka	below)	
[192]	39	Jessica  Polka	results_removed_1	(reconciled)
[193]	39	Jessica  Polka	results_removed_1	(reconciled)
[194]	39	Jessica  Polka	results_added_1+	
[195]	39	Jessica  Polka	results_statinfo_1+	
[196]	39	Jessica  Polka	0.28)	
[197]	39	jonathon coates	results_stat+_1+	
[198]	39	jonathon coates	results_stat+_1+	
[199]	39	Dey,  Gautam	results_removed_1	
[200]	39	Mate  Palfy	conclusion_added_1+	
[201]	39	Jessica  Polka	rare)	
[202]	39	Mate  Palfy	conclusions_added_1+	
[203]	39	Jessica  Polka	prescriptive)	
[204]	40	Mate  Palfy	results_stat+_1+	
[205]	40	Mate  Palfy	results_added_1+	
[206]	40	Jessica  Polka	results_statinfo_1	
[207]	40	Jessica  Polka	results_added_1+	
[208]	40	Mate  Palfy	reslts_effect-_1-	
[209]	40	Mate  Palfy	results_added_1+	
[210]	40	Jessica  Polka	results_added_1+	
[211]	40	Jessica  Polka	results_statinfo_1	
[212]	40	Dey,  Gautam	adjusted)	
[213]	40	Mate  Palfy	results_added_1+	
[214]	40	Mate  Palfy	results_added_statinfo_1+	
[215]	40	jonathon coates	rounded)	
[216]	40	Jessica  Polka	smaller)	
[217]	40	jonathon coates	results_stat+_1+	
[218]	40	jonathon coates	results_stat-_1-	
[219]	40	Jessica  Polka	results_effect-_1-	
[220]	40	Jessica  Polka	results_stat+_1+	
[221]	40	Jessica  Polka	results_effect-_1-	
[222]	40	Jessica  Polka	results_stat+_1+	
[223]	41	jonathon coates	context_stat+_1+	
[224]	41	jonathon coates	context_stat+_1+	
[225]	41	Mate  Palfy	results_statinfo_1	
[226]	41	Jessica  Polka	results_statinfo_1+	
[227]	41	jonathon coates	results_added_1+	
[228]	41	Jessica  Polka	results_statinfo_1+	
[229]	41	jonathon coates	context_stat+_1+	
[230]	41	jonathon coates	context_stat+_1+	
[231]	41	jonathon coates	results_added_1+	
[232]	41	Jessica  Polka	results_effect-_1-	
[233]	41	Jessica  Polka	results_effect-_1-	
[234]	41	Jessica  Polka	results_effect-_1-	
[235]	41	Jessica  Polka	results_effect_1-	
[236]	41	jonathon coates	conclusion_stat+_1+	
[237]	42	Jessica  Polka	context_nounchange_1	
[238]	42	Jessica  Polka	paper)	
[239]	45	Jessica  Polka	context_added_1	
[240]	46	Dey,  Gautam	results_statinfo_1+	
[241]	48	Dey,  Gautam	context_nounchange_1	
[242]	48	Jessica  Polka	neutrally)	
[243]	48	Mate  Palfy	results_statinfo_1	
[244]	48	Dey,  Gautam	results_statinfo_1+	
[245]	48	Mate  Palfy	results_statinfo_1	
[246]	48	Mate  Palfy	results_statinfo_1	
[247]	48	Jessica  Polka	results_statinfo_1	
[248]	48	Mate  Palfy	conclusions_added_2	
[249]	48	jonathon coates	conclusion_added_2	
[250]	48	Mate  Palfy	conclusions_nounchange_1	
[251]	48	Jessica  Polka	finding)	
[252]	49	Dey,  Gautam	context_removed_1	
[253]	49	jonathon coates	context_removed_1-	
[254]	49	Jessica  Polka	context_nounchange_1	
[255]	49	Jessica  Polka	pm	
[256]	49	Jessica  Polka	context_removed_1	
[257]	49	Mate  Palfy	complication)	
[258]	49	Jessica  Polka	conclusion_nounchange_1	
[259]	56	Jessica  Polka	pm	
[260]	56	Jessica  Polka	context_added_1	
[261]	56	Jessica  Polka	context_added_1	
[262]	56	Jessica  Polka	context_added_1	
[263]	56	Jessica  Polka	context_nounchange_1	
[264]	56	Jessica  Polka	context_nounchange_1	
[265]	56	Mate  Palfy	context_statinfo_1+	
[266]	56	Jessica  Polka	conclusion)	
[267]	56	Mate  Palfy	results_statinfo_1+	
[268]	56	Jessica  Polka	results_nounchange_1	
[269]	56	Jessica  Polka	conclusions_nounchange_1	
[270]	56	Mate  Palfy	conclusions_nounchange_1+	
[271]	59	Jessica  Polka		(rearrangement)
[272]	59	Jessica  Polka	context_removed_1	
[273]	59	Jessica  Polka	context_removed_1	
[274]	59	Jessica  Polka	context_removed_1	
[275]	59	Jessica  Polka	context_added_1	
[276]	59	Mate  Palfy	results_nounchange_1-	
[277]	59	jonathon coates	results_added_1+	
[278]	59	jonathon coates	results_added_1+	
[279]	59	Mate  Palfy	conclusion_removed_1-	
[280]	60	Jessica  Polka	context_nounchange_1	
[281]	61	Dey,  Gautam	changes)	
[282]	61	Jessica  Polka	encoding)	
[283]	62	Dey,  Gautam	fronts)	
[284]	62	Jessica  Polka	context_nounchange_1+	
[285]	62	Jessica  Polka	context_added_1	
[286]	62	Jessica  Polka	results_stat-_1-	
[287]	62	Jessica  Polka	results_stat_1+	
[288]	62	Dey,  Gautam	results_added_1	
[289]	62	Mate  Palfy	results_effect-_1-	
[290]	62	jonathon coates	results_stat-_1-	
[291]	62	Jessica  Polka	results_statinfo_1	
[292]	62	Jessica  Polka	results_statinfo_1+	
[293]	62	Jessica  Polka	changed)	(reconciled)
[294]	62	Jessica  Polka	pm	
[295]	62	Mate  Palfy	results_statinfo_1+	
[296]	62	Jessica  Polka	below)	
[297]	62	Jessica  Polka	below)	
[298]	62	Jessica  Polka	female)	
[299]	62	Dey,  Gautam	results_added_2	
[300]	62	Jessica  Polka	pm	
[301]	62	Mate  Palfy	results_added_1+	
[302]	62	Mate  Palfy	context_removed_1	
[303]	62	jonathon coates	results_stat-_1-	
[304]	62	Jessica  Polka	added)	
[305]	62	Mate  Palfy	results_effectreverse_1	(reconciled)
[306]	62	jonathon coates	results_added_1+	
[307]	62	Jessica  Polka	conclusion_removed_1-	
[308]	62	Jessica  Polka	conclusion_nounchange_1	
[309]	63	Dey,  Gautam	changes)	
[310]	63	Jessica  Polka	change)	
[311]	64	Dey,  Gautam	changes)	
[312]	65	Jessica  Polka	context_added_1	
[313]	65	Dey,  Gautam	context_removed_1	
[314]	65	Jessica  Polka	context_removed_1	
[315]	65	Jessica  Polka	context_added_1	
[316]	65	Jessica  Polka		(rearranged)
[317]	65	Jessica  Polka	results_nounchange_1	
[318]	66	Mate  Palfy	reversal)	
[319]	67	Jessica  Polka	context_added_1	
[320]	67	Jessica  Polka	context_added_1	
[321]	67	Jessica  Polka	context_removed_1	
[322]	67	Jessica  Polka	else?)	
[323]	67	Mate  Palfy	conclusions_nounchange_1	
[324]	67	Jessica  Polka	conclusions_removed_1	
[325]	68	jonathon coates	conclusion_effect+_1+	
[326]	69	Jessica  Polka	therapeutic)	
[327]	70	Jessica  Polka	added)	
[328]	70	Jessica  Polka	context_effect+_1	
[329]	70	Jessica  Polka	added)	
[330]	70	jonathon coates	context_effect+_1+	
[331]	70	Jessica  Polka	context_effect+_1	
[332]	70	jonathon coates	context_effect+_1+	
[333]	70	Mate  Palfy	results_effect+_1	
[334]	70	Jessica  Polka	resuls_nounchange_1	
[335]	70	Jessica  Polka	conclusion_stat-_1-	
[336]	71	Dey,  Gautam	changes)	
[337]	72	Jessica  Polka	context_removed_1	
[338]	72	Jessica  Polka		(rearrangement)
[339]	72	Jessica  Polka	context_removed_1	
[340]	72	Jessica  Polka	context_removed_1	
[341]	72	Dey,  Gautam	context_removed_1	
[342]	72	jonathon coates	context_removed_1-	
[343]	72	jonathon coates	pm	
[344]	72	jonathon coates	results_stat+_1+	
[345]	72	jonathon coates	results_stat+_1+	
[346]	72	Mate  Palfy	results_added_1+	
[347]	72	Jessica  Polka	conclusions_added_1+	
[348]	73	Jessica  Polka	context_effect+_1	
[349]	73	Jessica  Polka	conclusion_stat-_1-	
[350]	73	Dey,  Gautam	results_effect-_1	
[351]	73	Jessica  Polka	context_nounchange_1	
[352]	73	Mate  Palfy	results_effect-_1	
[353]	73	Mate  Palfy	results_stat+_1+	
[354]	73	Mate  Palfy	results_effect-_1	
[355]	73	Mate  Palfy	results_stat+_1+	
[356]	73	Jessica  Polka	results_stat+_1+	
[357]	73	Jessica  Polka	statement)	
[358]	73	Dey,  Gautam	changes)	
[359]	74	Dey,  Gautam	changes)	
[360]	74	Jessica  Polka	conclusion_stat+_1	
[361]	74	Jessica  Polka	follow)	
[362]	75	Mate  Palfy	context_effect_1+	
[363]	75	jonathon coates	context_effect+_1+	
[364]	75	Jessica  Polka	context_nounchange_1	
[365]	75	Jessica  Polka	context_nounchange_1	
[366]	75	Mate  Palfy	context_nounchange_1	
[367]	75	Jessica  Polka	context_nounchange_1	
[368]	75	Dey,  Gautam	results_effect+_1	
[369]	75	Dey,  Gautam	results_statinfo_1	
[370]	75	Jessica  Polka	much)	
[371]	75	Jessica  Polka	results_statinfo_1+	
[372]	76	Mate  Palfy	context_nounchange_1	
[373]	76	Jessica  Polka	context_removed_1	
[374]	76	Jessica  Polka	complete)	
[375]	76	Jessica  Polka	context_stat-_1-	
[376]	76	jonathon coates	results_effect+_1+	
[377]	76	Jessica  Polka	mean)	
[378]	76	Dey,  Gautam	results_statinfo_1	
[379]	76	Jessica  Polka	result_nounchange_1	
[380]	76	Jessica  Polka	result_stat-_1-	
[381]	76	Jessica  Polka	result_statinfo_1+	
[382]	76	Dey,  Gautam	results_added_2	
[383]	76	Jessica  Polka	impactful)	
[384]	76	Mate  Palfy	am	
[385]	76	jonathon coates	results_added_1+	
[386]	77	Dey,  Gautam	changes)	
[387]	79	Jessica  Polka	context_nounchange_1	
[388]	79	Jessica  Polka	conditions)	
[389]	79	Dey,  Gautam	context_effect+_1	
[390]	79	Jessica  Polka	context_added_1	
[391]	79	Mate  Palfy	results_effect+_1	
[392]	79	Dey,  Gautam	results_statinfo_1	
[393]	79	Jessica  Polka	result_effect+_1	
[394]	79	Jessica  Polka	conclusions_stat-_1-	
[395]	80	Jessica  Polka	context_effect+_1	
[396]	80	Jessica  Polka	context_effect+_1	
[397]	80	Mate  Palfy	conclusions_stat-_1-	
[398]	80	Jessica  Polka	concusions_stat-_1-	
[399]	80	Mate  Palfy	conclusions_stat-_1-	
[400]	81	jonathon coates	context_effect+_1+	
[401]	81	Jessica  Polka	context_nounchange_1	
[402]	81	Jessica  Polka	context_stat+_1	
[403]	81	Mate  Palfy	context_added_1	
[404]	81	Jessica  Polka	context_added_1	
[405]	81	Jessica  Polka	context_nounchange_1	
[406]	81	jonathon coates	results_nounchange_1-	
[407]	81	Jessica  Polka	context_added_1	
[408]	81	Jessica  Polka	context_added_1	
[409]	81	Dey,  Gautam	context_added_1+	
[410]	81	Jessica  Polka	results_nounchange_1	
[411]	81	Jessica  Polka	declined)	
[412]	81	jonathon coates	results_removed_1-	
[413]	81	jonathon coates	pm	
[414]	81	jonathon coates	results_stat+_1+	
[415]	81	jonathon coates	results_added_1+	
[416]	81	Dey,  Gautam	context_added_2	
[417]	81	Mate  Palfy	results_effect-_1	
[418]	81	Jessica  Polka	results_removed_1	
[419]	81	Jessica  Polka	results_added_1	
[420]	81	Jessica  Polka	restriction)	
[421]	81	Mate  Palfy	restrictions)	
[422]	81	Jessica  Polka	conclusion_nounchange_1	
[423]	81	Mate  Palfy	am	
[424]	82	Dey,  Gautam	changes)	
[425]	82	Jessica  Polka	availability)	
[426]	82	Jessica  Polka	already)	
[427]	83	jonathon coates	results_added_1+	
[428]	83	Jessica  Polka	results_stat+_1+	
[429]	83	Jessica  Polka	result_added_1+	
[430]	83	Dey,  Gautam	results_effect+_1	(reconciled)
[431]	83	Jessica  Polka	result_effect+_1+	
[432]	83	Jessica  Polka	results_stat+_1+	
[433]	83	Jessica  Polka	regions)	
[434]	83	Mate  Palfy	results_added_1	
[435]	83	Jessica  Polka	text)	
[436]	83	Jessica  Polka	context_added_1+	
[437]	84	Dey,  Gautam	context_added_1+	
[438]	84	Jessica  Polka	results_statinfo_1	
[439]	84	Jessica  Polka	results_nounchange_1	
[440]	85	Jessica  Polka	change)	
[441]	86	Jessica  Polka	work)	
[442]	86	Jessica  Polka	provinces)	
[443]	86	Mate  Palfy	context_effect-_1	
[444]	86	Jessica  Polka	context_added_1	
[445]	86	Jessica  Polka	context_added_1	
[446]	86	jonathon coates	context_added_1+	
[447]	86	jonathon coates	results_added_1+	
[448]	86	Mate  Palfy	am	
[449]	86	Jessica  Polka	context_added_1	
[450]	86	Jessica  Polka	72.3)	
[451]	86	Jessica  Polka	result_added_1+	
[452]	86	Jessica  Polka	result_effect+_1+	
[453]	86	Jessica  Polka	result_effect+_1+	
[454]	86	Jessica  Polka	result_added_1+	
[455]	86	Mate  Palfy	results_effect+_1	
[456]	86	Dey,  Gautam	results_statinfo_1+	
[457]	86	Mate  Palfy	results_nounchange_1	
[458]	86	jonathon coates	results_stat-_1-	
[459]	86	Jessica  Polka	result_effect+_1+	
[460]	86	jonathon coates	results_added_1+	
[461]	86	jonathon coates	results_effect+_1+	
[462]	86	Mate  Palfy	conclusions_added_1	
[463]	86	Jessica  Polka	conclusions_added_2	
[464]	86	jonathon coates	conclusion_added_2	
[465]	86	Mate  Palfy	results_removed_2	
[466]	86	Jessica  Polka	outcomes)	
[467]	87	Dey,  Gautam	changes)	
[468]	87	Jessica  Polka	context_added_1	
[469]	88	Jessica  Polka	context_added_1	
[470]	88	Jessica  Polka	context_added_1	
[471]	88	Mate  Palfy	context_added_2	
[472]	88	Mate  Palfy	context_added_2	
[473]	88	Jessica  Polka	context_added_1	
[474]	88	Jessica  Polka	results_removed_1	
[475]	88	Jessica  Polka	results_removed_1	
[476]	88	Jessica  Polka	results_removed_1	
[477]	88	Jessica  Polka	results_removed_1	
[478]	88	Jessica  Polka	conclusions_removed_1	
[479]	88	Jessica  Polka	context_added_1+	
[480]	88	Jessica  Polka	context_added_1+	(methods)
[481]	88	Mate  Palfy	areas)	
[482]	88	Jessica  Polka	results_added_1+	
[483]	88	Mate  Palfy	shortage)	
[484]	88	Dey,  Gautam	results_added_2	
[485]	88	Mate  Palfy	results_added_2	
[486]	88	Mate  Palfy	context_added_2	
[487]	88	Jessica  Polka	results_added_1+	
[488]	88	Mate  Palfy	conclusions_added_2	
[489]	88	Mate  Palfy	conclusions_added_2	
[490]	88	Mate  Palfy	conclusions_added_2	
[491]	88	Mate  Palfy	conclusions_added_2	
[492]	88	Mate  Palfy	conclusions_added_2	
[493]	89	Jessica  Polka	context_removed_1-	
[494]	89	Jessica  Polka		(reorganization)
[495]	89	Jessica  Polka	am	
[496]	89	Jessica  Polka	above)	
[497]	89	Jessica  Polka	below)	
[498]	89	Mate  Palfy	context_added	
[499]	89	Jessica  Polka	context_nounchange_1	
[500]	89	Jessica  Polka	context_nounchange_1	
[501]	89	Mate  Palfy	context_added_1	
[502]	89	Mate  Palfy	context_removed_1	
[503]	89	Mate  Palfy	results_added_1+	
[504]	89	Mate  Palfy	results_added_1+	
[505]	89	Mate  Palfy	results_effect+_1-	
[506]	89	Jessica  Polka	results_effect+_1+	
[507]	89	Jessica  Polka	resutls_effect-_1+	
[508]	89	Jessica  Polka	results_stat-_1-	
[509]	89	Jessica  Polka	results_effect+_1-	
[510]	89	Mate  Palfy	results_effect-_1-	
[511]	89	jonathon coates	results_effect-_1-	
[512]	89	Mate  Palfy	results_nounchange_1-	
[513]	89	Mate  Palfy	conclusion_added_1	
[514]	89	Jessica  Polka	conclusions_added_2	
[515]	89	Jessica  Polka	conclusions_added_2	
[516]	90	Dey,  Gautam	changes)	
[517R516]	90	Jessica  Polka	pm	
[518]	90	Jessica  Polka	context_stat-_1	
[519]	90	Jessica  Polka	results_stat-_1-	
[520]	90	Mate  Palfy	results_stat-_1-	
[521]	91	Jessica  Polka	context_effect+_1	
[522]	91	Jessica  Polka	context_effect+_1	
[523]	91	Mate  Palfy	context_removed_1	
[524]	91	Mate  Palfy	context_added_1+	
[525]	91	jonathon coates	results_effect-_1-	
[526]	91	jonathon coates	results_effect+_1+	
[527]	91	jonathon coates	results_removed_1-	
[528]	92	Jessica  Polka	context_added_1	
[529]	92	Mate  Palfy	context_stat-_1-	
[530]	92	Mate  Palfy	pm	
[531]	92	Mate  Palfy	conclusions_nounchange_1	
[532]	94	Dey,  Gautam	context_removed_1	
[533]	94	Mate  Palfy	context_removed	
[534]	94	Mate  Palfy		(rearrangement)
[535]	94	Jessica  Polka	below)	
[536]	94	Jessica  Polka	result)	
[537]	95	Jessica  Polka	added)	
[538]	95	Jessica  Polka	added)	
[539]	95	Jessica  Polka	added)	
[540]	95	Mate  Palfy	results_added_1+	
[541]	95	jonathon coates	results_statinfo_1+	
[542]	95	Dey,  Gautam	results_added_1	
[543]	95	Jessica  Polka	conclusion_added_2	
[544]	96	Dey,  Gautam	changes)	
[545]	97	Jessica  Polka	effect)	
[546]	97	Jessica  Polka	am	
[547]	97	Jessica  Polka	context_nounchange_1	
[548]	97	Jessica  Polka	systematically)	
[549]	97	Jessica  Polka	context_removed_1	
[550]	97	Jessica  Polka	results_stat-_1-	
[551]	97	Jessica  Polka	removed)	
[552]	97	Mate  Palfy	results_nounchange_1	
[553]	97	Jessica  Polka	consistency)	
[554]	97	Jessica  Polka	results_stat-_1-	
[555]	97	Jessica  Polka	results_stat+_1+	
[556]	97	Mate  Palfy	conclusions_effect+_1	
[557]	97	Jessica  Polka	context_stat+_1	
[558]	97	Jessica  Polka	context_removed_1	
[559]	97	Jessica  Polka	results_stat-_1-	
[560]	97	Jessica  Polka	result_effect-_1-	
[561]	97	Mate  Palfy	results_removed_1-	
[562]	97	Jessica  Polka	studies)	
[563]	98	Jessica  Polka	estimate)	
[564]	98	Mate  Palfy	results_removed_1-	
[565]	98	jonathon coates	results_stat+_1+	
[566]	99	Jessica  Polka	context_effect+_1	
[567]	99	Jessica  Polka	context_effect+_1	
[568]	99	Jessica  Polka	context_removed_1	
[569]	99	Mate  Palfy	context_removed_1	
[570]	99	Mate  Palfy	result_removed_2	(reconciled)
[571]	100	Jessica  Polka	symptoms)	
[572]	101	Mate  Palfy	context_added_1	
[573]	101	Mate  Palfy	context_added_1	
[574]	101	jonathon coates	results_effect-_1-	
[575]	101	jonathon coates	results_statinfo_1+	
[576]	102	Jessica  Polka	context_added_1	
[577]	102	jonathon coates	context_removed_1+	
[578]	102	Dey,  Gautam	context_added_1	
[579]	104	jonathon coates	context_added_1+	
[580]	104	jonathon coates	context_added_1+	
[581]	104	Dey,  Gautam	results_nounchange_1	
[582]	104	jonathon coates	results_removed_1-	
[583]	104	Mate  Palfy	conclusions_nounchange_1-	
[584]	104	jonathon coates	abstract)	
[585]	105	Dey,  Gautam	results_added_1+	
[586]	105	Mate  Palfy	results_removed_1-	
[587]	105	jonathon coates	results_added_1+	
[588]	105	Mate  Palfy	results_added_1+	
[589]	105	Dey,  Gautam	conclusion_nounchange_1	
[590]	106	Mate  Palfy	context_removed_1	
[591]	106	Mate  Palfy	results_removed_1	
[592]	106	Mate  Palfy	results_removed_1	
[593]	106	jonathon coates	results_removed_1-	
[594]	106	jonathon coates	results_effect-_1-	
[595]	106	jonathon coates	am	
[596]	106	jonathon coates	results_statinfo_1-	
